"review","sentiment","reviewer","score","type","stay"
"First time stayed at this hotel and leave with a very good impression. Services are good and comparable with international hotels that I have been staying. Staff are very helpful stated from the reception, restaurant and during check out. Special thanks to William, your staff at Kayu Manis, who briefed me on what is special as well as making recommendation to try. Menu is good with many selection on favorite local dishes.  You have may day in Jogja and wishing Tentrem more success","Positive","BPoerwanto",5,"Traveled with family","October 2019"
"The reason I return to this hotel is their remarkable hospitality. The check in process was quick, and guess what, receptionist mention all of my identity from our previous stay like we are part of theirs, a very kind welcome.  A little disappointment only occur when we first arrive at our room, because we've got no bath tub (which my daughter really wanted, from our previous stay). But it is okay because the view from our room now is faced to the swimming pool. And uhmm, a little difference also noticed when we are check in, no staff deliver us the welcome drink and cold towel. But hey, the rest of the things are exceptional!  All staffs were doing their job great, picking up and delivering the laundry were quick and efficient. Staffs at the pool and kids playground were nice…","Negative","Ezra I F",5,"Traveled with family","October 2019"
"I stayed at Tentrem for many times and always felt like homey. Staffs are friendly, cozy ambience, clean room and complete facilities as expected from a 5 stars hotel. Haven't try to swim yet, but the pools seems nice also.","Positive","Giovanni",5,"Traveled with family","October 2019"
"This was my 5th stay at Tentrem. It's my prefered place to stay in the cityfor sure, and  did not dissapoint.  I'm not sure how long the hotel has been open now, but the rooms are still in very good condition. Very clean and well maintained.  Checkin was firendly polite and quick.  Service during my stay was excellent. Note, the hotel was busy at the weekend but significantly quieter during the weekdays I was there.  Eboni bar was great to hang out - good martini's ! Kayumanis Breakfast was busy busy the times I visited but service was still prompt. I had one meal at Summer Palace that was a bit of a dissapointment. It was buffet night and i arrived after 2120 - the heaters under buffet trays had been turned off so all the food was cold. The selection of dim sum was also…","Positive","simarsden",5,"Traveled with family","September 2019"
"This Hotel has an excellent service and very relaxing atmosphere,, the food is good and the swimming pool is very beautiful, the kids playground is very nice as well. We will be back for sure and we will recommend this hotel to our families and friends.","Positive","Bells J",5,"Traveled on business","October 2019"
"Every month I stayed at Tentrem Hotel Yogyakarta. The Hotel was perfect and excellent service. I stayed like hommy and good hospitality.  Special thanks to the Mas Eko manager in Excecutive Lounge. He had been the very helpful during our stay there.","Positive","Sulistya Hastuti Wahyu",5,"Traveled with family","October 2019"
"It's a modern and nice hotel to stay with good security. This hotel also stayed by The Former US President Obama, Kenny G and more..... The hotel extended warm hospitality especially to the long stay guest. It made me feel home with tip-top fitness centre and relaxing spa centre! The breakfast offered wide selections including the local cuisine.   The only cons about this hotel is the wifi connection. I am not sure why the connection in the room was so poor to the extent most of the sites can't be assessed. You can't game and stream in the room...the WiFi system needs to be upgraded for better service. Else, i am almost happy and feel pleasant with its hospitality.","Positive","jayonholidays",4,"Traveled with family","October 2019"
"Stayed there for 4 days!! And i had the best 4 days in yogyakarta. The hotel was perfect in everyway. Got excellent service from the hotel staff!! They were all helpful in everyway. Special thanks to the concierge staff Alamsyah Rayes. He had been the very helpful during our stay there. He assisted us in organizing our sightseeing for the 2 days. My family and i were so thankful to him. This is no doubt the best hotel in yogyakarta.","Positive","wani_manson",5,"Traveled with family","October 2019"
"I stayed here in September 2019 on 19th , In a delux type room, at first i asked for noon smoking room but because the hotel at that time was fully booked said from the front office finally we were given on the 3rd floor which was a smoking room. clean rooms and quite spacious rooms with family l, thanks to the Concierge Erwin who helped us to send luggage to the room giving detailed information about Yogyakkarta, He made itineraries like Borobudur  Temple and Prambanan Temple and also to the Lava Tour , we wee quite happy with the atmosphere the lobby area and the restaurant are pretty good to be recommended later ","Positive","Tiarini",5,"Traveled with family","August 2019"
"We had a good 3 night stay here whilst visiting the local attractions. The staff are extremely friendly, with particular thanks to Rayes on concierge, who assisted us with transport and tours.   The rooms are very clean and of generous size.   There are limited western options for breakfast here and the quality of what’s available could be improved.   Overall a good stay and we would return on our next visit. ","Positive","Mark P",4,"Traveled on business","September 2019"
"It was very nice to be having lunch here. The service is delightful and the staff is nice. The food is tasteful, not only its indonesian food, but also its western. The waitress who provided service on me is also friendly and easy to talk.","Positive","Sahid H.",5,"Traveled with family","September 2019"
"Hotel Tentrem is strategically accessible to anywhere since it is centrally located. Staff were awesome and friendly. They made an effort to make a surprise birthday cheer during bfast with a cake. Alex Naomi, one of the staff, is v sweet that go great lengths to ensure my stay was comfortable. Facilities are great too. Nice swimming pool and indoor tennis courts. Highly recommended. ","Positive","Lingling",5,"Traveled with family","September 2019"
"My wife and I decided to go to Yogyakarta as we have not been there for quite some time. Through recommendation from a friend we decided to stay at the Hotel Tentrem.  We were delighted with this hotel property.  In all cases, the staff of the hotel were very helpful and friendly.  The hotel has good restaurants with excellent menus to suit all tastes.  The pool area and the gym are excellent.  Over all the hotel has an impressive ambiance and is well maintained.  Our room was very comfortable with a balcony overlooking the pool area.  If you are ever going to Yogyakarta, Java Island, Indonesia I can definitely recommend for you to stay at the Hotel Tentrem.","Positive","FrequentFlier653293",5,"Traveled with family","September 2019"
"Very Comfortable, Quiet, Room always clean, Delicious Breakfast, Nice Holiday for family, Very Good Services, the staffs are very kind and helpful. Receptionist staff, Alex, was very warm and friendly. The staff in restaurant, Zainal, was also helpful and very hospitable.  The hotel location is near from Malioboro. The swimming pool is very beautiful. The fitness center is very complete. My daughter was very happy for the kids playground and activities. Hotel Tentrem is very recommended if you travelled with your family...  Absolutely the best hotel and we want to come back to hotel Tentrem when visiting Yogya. Excelent!!","Positive","widia faza",5,"Traveled with family","September 2019"
"Everything was great. Comfortable beds, perfect wifi conexion, impresive gim, evern better swimming pool. Complete breakfast. Personal very kind. Many of them young with a great predisposition. Nice kady attended us at the restaurant (Miss Laras). This hotel is a must in Jogja.","Positive","Isco",5,"Traveled on business","September 2019"
"The tolak angin icecream is da best. And the tolak angin candy and the icercream is pink dream. It has been a gud day living eating breathing and having fun with my ashyiap frends. The beef wiener is also very flavorful.","Positive","James S",4,"Traveled with family","September 2019"
"We had a wonderful relaxing time here. The hotel greets you with hallways perfumed with ginger. It has the largest spa, a fantastic gym and a pool cleverly surrounded by the building to moderate the sun. The massages are the best I experienced in Indonesia, the breakfast buffet is heavenly and the Chinese restaurant is excellent. There's not much of interest in the area close by the hotel yet other than some pastry shops. Hotel Tentrem is located midway between Borobudur, Prambulan and Ganjuran. It's only a quick hour plus flight from Jakarta. We are looking forward to staying at the hotel again.","Positive","Bill and Margaret",5,"Traveled with family","September 2019"
"I brought my kid in business reason, she seems so happy with all facilities and the hospitality of the hotel. Clean, very cozy, modern but in a traditional culture. The food is great. The welcome food is so amazing. Wish could be back (n,n)","Positive","Dea F",5,"Traveled with family","September 2019"
"Date of stay was 12.10.18-15.10.19. I decided to return for 17.10.19-24.10.19 (7nights) The request was for a Non Smoking Premier Room with Excurive Lounge access and specifically Room 806. A complete 'Quagmire' has taken place with the hotel resevations mismangement. This was taken over by Debbie whom I have explained by email on the 14.10.19 why I cancelled the booking as I do not want to be pushed onto a room that I have not requested an I am intresred to restore a booking as the refund is not available until thge 2.10.19 (unreasonable time refund policy) With this suggestion the Hotel retains the revenue value of 12.644.689IDR and meets the accomodation request. I have suggested that I will escalate this to the GM Mey Nurnaningsih. Disappointingly there has not been the…","Negative","GWF",1,"Traveled with family","October 2018"
"Excellent services and facilities ( they concern about all good detail stuff ). Clean, very cozy, and I experienced their spa treatment, and they're so professional. The best breakfast menu choices. They know how to treat customers, very friendly. Happy customer!","Positive","Bee",5,"Traveled on business","September 2019"
"We are group of friends for 3D2N in Jogja and choose the Tentrem Hotel. The hotel is Exclusive with very good services and facilities.   Starting with cozy and lux standard room with nice pool and sport facilities.Standard room is good and large enough for 2 person. Nive and large bathroom. Also the staff is very nice and helpfull.  Breakfast with variety National / Nusantara menu and I think its complete enough to have the breakfast. William, the nice and helfull staff in breakfast resto had served us and nicely explain and offer another menu of the food.   Easy transportation from hotel to town/Malioboro.  Very recommended hotel. Keep up the food work and maintain the hospitality.   Regards.  ","Positive","Sigit P",5,"Traveled with family","September 2019"
"We booked a stay here when visiting our family. They did excellent service since the reservation, we asked for a complete set of praying attire by email and it was in the room when we first checked in. The guest service is absolutely 5 star. The kids club is very nice, although we weren't prepared when they said everyone had to wear socks. And my son and I have a sensitivity to dust, we couldn't stop sneezing and coughing when in the kids club. It looked clean but don't know why that happened. The next morning we went in there but they were washing all the plastic balls from the ball pool so we decided to stay near the swimming pool instead, which is a great facility. It is very clean, well maintained, enough greeneries, nice seating area. The room is also excellent, the bed…","Negative","Mira S",4,"Traveled with family","September 2019"
"1st time here and it was so cozzzyyy <U+0001F495><U+0001F495><U+0001F495> Starting from the warm hospitality from all of Tentrem team, continued with the cozy room and the perfect food! <U+2764><U+2764><U+2764> One of the unforgetable was ""Ice Cream Tolak Angin"" <U+0001F970><U+0001F970><U+0001F970>","Positive","Windi Primadini",5,"Traveled with family","September 2019"
"Feel safe because there is strictly security check before enter the hotel. Environment in lobby & room is comfortable and class, feel relax with the aroma of lemongrass. Environment around the pool was beautiful. Good experience with the spa treatment and massage service from hotel. The view of environment is nice. Also provide with fully equipped fitness centre. Strongly recommend to stay at here, i will revisit again in future.","Positive","Fion",5,"Traveled with family","September 2019"
"My favorite hotel in Yogyakarta. Tasty food and excellent service in the restaurant. I love the ambience, swimming pool, and the clean room. Thanks Tentrem! I will stay there when i go to Yogyakarta :)","Positive","arinisilalahi",5,"Traveled on business","September 2019"
"I was very impressed while staying at this hotel.   Really feels ""Tentrem"".   Fleeing for a moment from office routine becomes accomplished.   I spent four days and three nights at Tentrem Hotel with super special services from the hotel.    Coincidentally, it coincided with my birthday, a birthday surprise I got from a very friendly hotel staff, made me feel at home like with my family.    Throughout the day the hospitality of the staff is very consistent, from the entrance, lobby, and especially in Kayu Manis Restaurant, for William & Taris ‘Mbok Jamu’ jamune uenaaak pollllll <U+0001F44D><U+0001F3FB>  te voir, till we meet again, sampai jumpa <U+270B><U+0001F3FB> Regards, SAHMIL.","Positive","Sahmil I.T Achmad",5,"Traveled with family","September 2019"
"It’s a very nice chinese restaurant, i think one of the best in Jogja. I reserved the private room for meeting with regional media in Jogja and helped by Ms. Eka. With only a short of notice, she can manage my inquiry perfectly. The dishes is good, and the service is very satisfying. Thank you.","Positive","Christina N",5,"Traveled with family","September 2019"
"Stayed with my wife for 1 night only on September 2019, I used to hear about the greatness of this hotel, about the high price, high quality, etc. And finally got a chance to prove it myself. Let’s begin… Starting from the entrance to lobby, all the staff (security guard, door man, concierge) was very polite, all smiling, nice and helpful. The Lobby was big, luxurious and clean. Everything look diligently maintained for high quality service. I got a last minute changing on our trip plan that made me have to check in to the hotel first, so I called the hotel reservation about 2 and half hour before the check in time. I asked for early check in (it supposed to 2 p.m. and I called them at 11.30 a.m), and received nicely by the officer, she didn't make a promise that I will be able…","Positive","Cin Sugiarto <U+8A31><U+664B><U+798E>",5,"Traveled with family","September 2019"
"nice hotel in Yogya, awasome breakfast , big room with two queen bed sharing , free mini bar , swiming pool with sauna, whirpool and fitness centre, good coffee just next of the hotel , perfect hotel if u travel with family","Positive","Reinard Fedras K",5,"Traveled with family","August 2019"
"Tranquil setting. Friendly smiling staff. Wonderful ambience and lemongrass fragrance. Access to good tailor across the road. Access to nearby marts and bakery. Well located with a Grab or Gojek arriving within a few minutes of request.","Positive","freespirit93",5,"Traveled on business","September 2019"
"Free jacuzzi is a plus facility. The item. Food varieaty is very satisfying and by providing local food also one of the excitement. Location is OK, not many choices to stop by. Very suitable for family vacation.","Positive","deraditya11",5,"Traveled with family","September 2019"
"Tentrem hotel People mafe our days. We had treat that created our happiness. Warm welcome and service with passion. Everyone provides help and assistance in a descent comfort. Hotel tentrem was super in every way. City is clean and friendly easy to access. Shops owners are friendly and polite, of course bargaining is a must. Congratulations Indonesia very good","Positive","khaled b",5,"Traveled with family","September 2019"
"As mentioned by most of the reviewers, this hotel deserves more than 5 stars. We were greeted by a huge and grand lobby. Aromatherapy in the hall made us relaxed and calm.   The room was spacious and has most of the things that we need in a top hotel room. Comfy bed and linen. The bathroom is very big as well. The only things is the shower room. Design of changing from rain shower to shower head is not very good. It will be good if the two knobs are separated. But other than that, no complains about the room.  Our most memorable stay is the breakfast. A huge varieties of options and all the ingredients are fresh and delicious. We even had dinner at the same restaurant too.   Nice swimming pool, gym and spa area. We like the hotel so much that we wanna check out their other…","Positive","Kimberlily1419",5,"Traveled with family","September 2019"
"Have been hearing a good review about this hotel for so long but has just got the experience to stay there lately. The review was not wrong at all. I had a nice experience staying at this hotel. The room was of course good and spacious, as expected from 5 star hotel.   The highlights for me were: (a) WONDERFUL breakfast - they have many selections of food and all were great!; and (b) nice gym - they even have a small studio with mirror for someone who wants to do yoga or pilates or hust HIIT.   Really recommended hotel! The price was also decent for the quality that you got.","Positive","airawati",5,"Traveled with family","August 2019"
"The food was all wonderful. We had pizza, tongseng, salmon, burger, and ribs. It was balanced between original Indonesian taste and to my westerners friend's palette. The service was also 5 stars quality.","Positive","Tommy Utama",5,"Traveled on business","September 2019"
"It was one of the best hotel experience I had. Check in and out was smooth.... The room was amazing. The FOOD was beyond amazing.... Yammeeehh...  Playing ground for your kids is WOW! The staffs, you are in Jogja so a warm and very good service should be standard yet this one is more than the standard (yes it was). I will come back for sure and that time will be longer!  Thank you Hotel Tentrem!","Positive","Zaid R",5,"Traveled with family","September 2019"
"An excellent buffet breakfast with such a choice of Indonesian/ Western and other Asian varieties topped off with impeccable service from William our waiter and Tegar who made a great barista coffee - thank you !","Positive","Helena S",5,"Traveled with family","September 2019"
"The hotel is very nice and the food is great. There's a nice play area for kids and the spa is really beautifully done. What makes the place special is the staff. So warm and welcoming, especially to our daughter.  Thanks to Evanity for your patience and to all the breakfast staff who were great. Mika & Dita for looking after our daughter. Erwin who brings the best coffee. Thanks also to Lintang for making our departure so easy.   One tip: arrange your own trips to the temples. Those booked via the concierge team are much more expensive and no better. Also do your own research before you come on what to do and where to eat because information/suggestions weren't the best (perhaps a language barrier).","Positive","Rhodri",5,"Traveled with family","August 2019"
"me, my father and mother came to yogyakarta for seminar, we stayed in executive room with yogyakarta city view, for me the best hotel is friendly for wheelchair and hotel tentrem have a good staff are friendly and helpful. the food, coffee at kayumanis restaurant and bar have best food taste, and i really appreciate when hotel serve local coffee specially indonesian coffee. someday i will back at hotel tentrem with my family and more explore yogyakarta.","Positive","amri al-hasany",5,"Traveled with family","August 2019"
"My husband and I came to Yogyakarta for work. And we chose this hotel for somehow between working and a bit getaway. Upon check-in, the receptionist is very friendly and explained all the hotel facilities very well (sad that I forgot her lovely name). Even though our room was not ready at that time, we enjoyed our time at your pool bar. We had a delicious lunch while waiting for the room. Twenty minutes later, I got the call from your reception girl that informed us the room is ready. And they sent someone to handover the key to where we were at the pool (AWESOME JOB). When we arrived at the place, and our luggage is already placed nicely (another excellent job). The room is clean and spacious. The room service menu is from the TV, and we also can order from the TV (outstanding…","Positive","nevie r",5,"Traveled on business","August 2019"
"The best hospital, the staff are friendly and helpful, especially at Executive Lounge , Mr Anan outstanding employee in my perspective. The fo also cooperatives and helpful .. The food ? ice cream for breakfast ? Yes , the signature ice cream , Tolak Angin ice cream is my favorite for 7 days in this hotel Thank you again !!","Positive","azeta_arif",5,"Traveled with family","August 2019"
"Stayed in a deluxe room for a conference. Service was exceptional especially in the Kayumanis restaurant at breakfast. The lobby and reception was stunning with several paintings and decorations all over the hotel. The bathroom fittings were not the best but the other amenities were good. The room overlooked the pool which was very good. Breakfast had a large variety of food but had more local dishes than western dishes. I understand that there are more local guests. However the hotel is not located neat to any attractions and you need to arrange for transport to go to the mall and sight seeing.","Positive","Kandiah R",4,"Traveled with family","August 2019"
"Amazing stay at hotel tentrem. Serves a wonderful breakfast with good ambience. The room was very comfortable and spacious and the twin bed is also large size. The lobby is very spacious.  There is sidomuncul shop that sell batik and jamu.","Positive","Rinda Leopold",5,"Traveled with family","August 2019"
"I stayed there with my nephew and kids for few days. The food and the service was amazing, .. im very picky when it comes to food, and i can assure you that the food there is the best. the room was very comfortable, top notch. We also got help from danny concierge, he was very kind to help us with our luggages and finding taxi too. Would love to go back during vacation!","Positive","Diajeng ita",5,"Traveled with family","September 2018"
"I stayed in Hotel Tentrem for a total of 3 days and 2 nights and it was amazing. Their hotel breakfast has been recognised to be the best in the city and I can confirm that that’s true! The waiter staff William gave excellent service and the variety of food range is incredible, it’s absolutely delicious!!","Positive","AlyshaBrah",5,"Traveled on business","August 2019"
"Located at the center of Jogjakarta, this hotel serves a wonderful breakfast at kayumanis restaurant. With delicious food, good service, with good ambience and variative selections of foods and beverages. especially William <U+0001F44D><U+0001F3FB>","Positive","Jessica F",5,"Traveled with family","August 2019"
"i came here with my family for hokiday.the food and the service was great. selection of foods is very vibrant with lots of options. mr william as a waiter really cater our needs here. great job! this restaurant is very recommended.   ","Positive","Conrad Ruben Waldemar",5,"Traveled with family","August 2019"
"As it called, Tentrem, the hotel ambience is so relaxing. The staff is very friendly and concern about guest satifaction. During my stay at the executive suite, i've found my room is huge and very clean, the decoration is also very nice. But maybe they can improve the bathroom amenities by using some premium brands. I love the breakfast!!! Beside of standart menu for breakfast, they also have lots of delicious tradional menus. I accidentally met Mr. Irwan Hidayat at the elevator. He is very nice & humble person, which is do not hesitate greeting guest. Highly recommended!!!","Positive","dimas w",5,"Traveled with family","August 2019"
"Wonderful time, Tentrem Hotel made our time exceptionally good! The room was divine. Large with a massive marble bathroom, wonderfull view and also cheerful staff. Specially thanks to Ms Dita for excellent assistance, professional, friendly attitude,  and responsive service. Very well done! Will recommend it to people who wants to travelling around Yogyakarta.","Positive","Iltizam Vikri",5,"Traveled with family","August 2019"
"Every single business trip to Jogja, we always stay at Hotel Tentrem ..  They serve us from pick up at the airport, greetings in the lobby, faster check-in, welcome (herb) drink, and until send us to the room ..  Well, lemme gives some comment based on my experience ..   Pick up with the driver (Rian-Concierge), he is very polite, bring name board and always greet us with warm smile, the car very clean, smells good and the important thing is the driver (Rian) drive carefully and also he knows everything in Jogja ..   And also i want to say thank you to Anan-Receptionist, because when i got trouble with my key card he (Anan) so fast to help me, changes the key card, make sure the key card can work, and also help me and my team until process check out ..   Once again, thank you so…","Positive","Gloria N",5,"Traveled on business","August 2019"
"Great arrangement and preparation done by the concierge, Erwin.. We requested airport pickup and car rent... Guest is VVIP and Erwin with excellent service together with hotel driver, Rian who done well communication before guest arrived at Airport by sent car picture to makesure according to our request. He also did inform us when guest arrived at the hotel. Tentrem always be a preferred hotel to stay and  to recommend.","Positive","Joe V",5,"Traveled with family","August 2019"
"Good location, good food, nice and comfort to stay for family or couples... Easy to reach good places from the hotel. Quite expensive but make sense. Highly recomemded for pleasure stay and giving back your spirit after holiday. ","Positive","Ernykencana",5,"Traveled with family","August 2019"
"Although I stayed here only for a night, it was quite memorable. I tried their big pool and it was well maintained and refreshing. The gym was comparable to a fitness center and the Jacuzzi was relaxing. I particularly enjoy the herbal ice cream that they made in-house. The taste was quite unique for my palette and I could not help but ask for a second scoop!","Positive","Jay T",4,"Traveled with family","September 2018"
"We stayed at deluxe room for a night, the room was clean, neat, and spacious.The services were excellent, the staffs were friendly. One of the receptionist staff, Mr. Erwin was kind and helpful, he gave us some activities recommendation The breakfast menu was quite various with so many dishes, we love the Indonesian foods. The taste was so good The hotel has many facilities such as gym, kids zone, pool & kids pool, spa, resto The pool is awesome ","Positive","Yashinta",5,"Traveled with family","May 2019"
"I came for business meeting trip for few days. The employees of the hotel were very friendly. The hotel it self has very unique and luxury architectural design with very refreshing room fragrant (lemongrass). Lunch menu were nice and delicious with unmistakable comfy restaurant. They offer great price for meeting package and room to corporate partnership. Thank you Tentrem.","Positive","Rishang",5,"Traveled on business","October 2018"
"For almost four days we stay, Hotel Tentrem deliver their best professional and personal experience to my family in detail since check-in process (well actually we wait almost 1,5 hours at their hotel lobby before we could leave our baggage to our rooms coz we came too early obviously) until we left on Monday... after all, our beautiful sunset view room and amazing culinary experience 'journey' at their Kayu Manis restaurant is a truly 'Jogja Kick' that you can't resist and make you want to stay more and more!  No wonder why one of US Former President - Obama staying at this sanctuary.. no wonder! Please keep up your wonderful services dear Tentrem's Crew.. God bless all of you.  PS Please consider the smoke scent side effect from your Eboni Cafe / Restaurant having good air…","Positive","K W",5,"Traveled with family","August 2019"
"We really enjoyed staying at Hotel Tentrem Yogyakarta. The check-in process was fast and smooth, they provided “jamu” as welcome drink, we had spacious room with super comfy beds. Though sleeping in it got us missed the Borobudur sunrise haha...but we still got to catch Merapi sunrise which became a super amazing experience.  Even though the exterior of the hotel looks like a bunker, but the interior is pretty..my friend is a Civil Engineer and he really enjoyed the design...one thing that catched his eyes is that the column has Greek style but we could also see it like row of bamboos...nice and unique  They have various menu for breakfast and they were tasty!   Unfortunately we just stayed here for a night since we had to catch a flight  Warm regards,  Dayu & Jonathan","Positive","Dayu",5,"Traveled with family","August 2019"
"This is truly and amazing hotel with simply amazing staff. We had a wonderful time at the Tentrem which is centrally located. We couldn’t afford the Presidential Suite where Obama stayed but managed the delightful Prambanan Suite which has two spacious bedrooms, a large living room and complimentary mini bar. We also had access to the executive lounge which serves wonderful canapés between 5 and 7 pm.  The pool is nice and the kids playground - essentially a fully equipped kids club - kept our 8 year old busy.  There is a warmth and personal touch which the hotel staff affords which makes the whole Jogjakarta experience simply memorable. Special thanks to Naomi who welcomed us, and Executive Assistant Manager Suprapti Suprobo for her excellent care and going the extra mile for…","Positive","Jeeve Kanagalingam",5,"Traveled with family","August 2019"
"It was not new but hospitality was great. Breakfast was very nice having many choices.  My room was unfortunately without any view. But cleaning was perfect and lots of fruit were always set, including famous snake fruit! I highly recommend this hotel in Yogyakarta.","Positive","Mukodono",4,"Traveled with family","August 2019"
"Very nice hotel and facilities such us very clean swimming pool and sauna and of course very nice and helpfull staff. Breakfast was fantastic with varieties local and international food. Room very clean and spacious.","Positive","travellerdentist",5,"Traveled on business","August 2019"
"The hotel is perfectly stunning... the staffs are nice and helpful. i do not have any un-satisfying matters.  There were a walk of fame Mr Barrack Obama and many international's celebrities  etc was stayed there before.","Positive","Bobby S",5,"Traveled with family","August 2019"
"The Hotel Tentrem is a luxury hotel with lovely facilities. Frequented by the rich and famous- as evidenced by the walk of fame wall with signed photos, the hotel leaves nothing to be desired. Rooms are gorgeous and comfortable. Complimentary water, mini bar and fruit (yes - correct- the mini bar is complimentary). The pool is sublime and the club lounge is worth the extra cost. Amazing views of Mount Merapi volcano from some rooms. Close to the temples- which are worth a tour. Staff were professional and friendly. Really lovely hotel.","Positive","RomyC",5,"Traveled with family","July 2019"
"well... i read few bad reviews of this hotel but never thought it could happen. i got room booked on 21 jun and out on 22... after long drive from jakarta and continue to jogja, i was looking for place to rest with my family.  when i arrived, the security and doorman was great... very friendly.. the greeter at the door was very nice....everything thing great....until i get to the reception to check in. reception was not busy....i just walked to a guy later i saw the name is bambang. no smile.... no greeting...well...later he told me my room (king size bed) is not available..he can only offer me twin beds since i booked a twin bed with request to king bed. what!!!... i told him.... i knew what i booked, i booked king size bed room with request no smoking since i got 2 yrs baby…","Negative","Erwin Chahyadi",1,"Traveled with family","June 2019"
"Stayed here with my 2 kids and the experience was truly amazing. Since the moment we checked in, the staff (Naomi) was attentive and friendly. When asked a recommendation of places to eat she came up with a handful of good suggestions with a mind to our children’s comfort. Another lady approached us with welcome drinks not only for my husband and I, but for the children as well. Love how they paid attention to the kids. She also explained passionately about the welcome snacks that they serve in the lobby area - the history behind the snacks and the taste of it.   Tips: you have to ask for a room with bath tub. But we spend time in the hotel only during breakfast and to sleep anyway so it doesn’t matter. Room is spacious and clean. We got bumped into a room with balcony and I…","Positive","Bubblesbubblesbubbles",5,"Traveled with family","June 2019"
"I must say this is now the finest Hotel in Yogyakarta City.  Never fail me for this 3rd visit. Really can sleep well, as almost cannot hear the Adzan Subuh (moslem morning praying call) from closest Mosque. The (deluxe) rooms are spacious (42 sqm) with all brand new interior. The service from entrance upto final day truly represents the hospitality of local culture of yogya Yet International standard. No wonder Mr.Obama (former USA President), Christine Lagards (Director World Bank), David Foster, Brian MacKnight, and many more have chosed and stayed in this Hotel & Covention. Love the strong Indonesian Foods at Breakfast, especially the Signature of Roti Kukus (steam bread) and Ice Cream Jamu (as the same owner of Tentrem & jamu Sido Muncul).  This hotel also very Kids friendly…","Positive","Ndangm",5,"Traveled on business","June 2019"
"I stayed at Hotel Tentrem at Ramadhan break. I arrived at 2pm, which was check in time, but got my room ready by almost 4pm.   I made advance reservation and request to the sales to have 2 rooms side by side and bathtub. Eventually i didnt get the room as requested and the front desk officer said that no request noted to my reservation.   When we went to swimming pool and asked for towels, they said that there were no towels available, so that we have to wait for 1 hour until the towel come and they only limited to 1 towel per room (where the standard is 2 per room).  The breakfast menu was quite various but the taste were not so special and it took long time for them to refill some foods.   I knew it was peak season, but i expected consistent level of service delivered for such…","Negative","Dwi T",1,"Traveled with family","June 2019"
"One of the best 5 stars hotel in Yogyakarta. Great facilities and top notch services.  Wide and clean room, super comfortable, with complete high quality amenities.  The staffs were exceptional during our stay. Excellent services, very kind and always helpful.  The breakfast was huge, with so many  dishes and desserts, almost all of them taste good.","Positive","xp373r",5,"Traveled with family","June 2019"
"We stayed at the hotel for 3 days. This hotel have the most complete facilities and entertainment for kids and adults. Our kids especially loved the playground. Staffs was very helpful and friendly. Definitely will stay at this hotel again if we visit Jogja in the future. Keep up the good work!","Positive","Syifa A",5,"Traveled with family","June 2019"
"Love, love, we love the hotel... Great room, great facilities, great breakfast until great hospitality! Thank you so much to Pak Erwin & Housekeeping team for making our journey to Jogjakarta memorable. Truly a great accommodation for honeymooners like us. Will come back again for sure!","Positive","Whose_na",5,"Traveled with family","June 2019"
"Me and my husband stayed at Executive Suite for 2 nights. We must say that it was such a luxurious stay. The room was spacious, clean, and has an array of amenities. What impressed me was the hospitality of the staff, and the service they provide. They never missed a single request from us even just a small request. Not every hotel can do so, even a 5 star hotel.  The executive lounge was nice with all drinks and snacks. They have cocktail time from 5-7 pm. Just a suggestion, maybe the time can be adjusted to 4 pm, since 5 pm was a little bit close to dinner time. Breakfast was excellent, from the taste to the variety of food. They even have a stall for local coffee. Too bad I can't eat much for breakfast. They have plaground for kids which was quite big. The swimming pool was…","Positive","Anggi Vilia",5,"Traveled on business","June 2019"
"Amazing hotel with very good or rather excellent service. Got an upgrade to suite room on level 8 i guess. Breakfast spread is quit good. Evening complimentary snacks are good for suite guests. Spacious hotel and close to most parts of city. Good place to stay overall.","Positive","vishalp182",5,"Traveled with family","January 2019"
"I booked a Deluxe room for a business trip. The room just so so, but I found some spots on my bed. I ordered room service, they told me that it will came after 15mins, but actually came after 25mins or something, but it’s okay, I could handle it. Overall for the service is just average, nothing special and nothing really matters. The plus point is, the bellboy are really helpful and the lobby area is so majestically amazing.","Positive","najbakhtiar",3,"Traveled with family","May 2019"
"I came here twice., 1st visit was for stay, and 2nd was breakfasting...  During my stay everything was good Room is large, tidy, comfy as expected even the public restroom also well designed and clean the staffs are pretty and also very well educated  But during my 2nd visit when I have my breakfasting here.. I was really disappointed..     - the variant of the food is very standard, for a standard of 5 stars hotel    - but the taste is even worse... it's very horrible for a level of 5 stars hotel.. it's like a food from a small tent-restaurant next to the street  It's not worth it at all to have breakfasting on this hotel","Positive","Dickysetyop",3,"Traveled with family","May 2019"
"Great location, really pleasant and clean rooms, but the thing that makes this such a good place to stay. All of the people are incredibly helpful and generous with their time and advice. We businesstravelled with lots of luggage and despite the stairs up to the elevator this was one of the nicest places we are meeting in here, the meeting room nice and the coffee break are good taste. The hotel served us traditional food such as herbal drink (jamu), coffee, the famous steem bread and others. Excellent services. great location, hotel feels modern, all staff friendly with happy hour every day, perfect place for meeting and holiday.","Positive","Henky",5,"Traveled with family","May 2019"
